longitude,latitude,price
-87.62138,41.89862,250
-87.68152,41.87863,45
-87.68444,41.91033,150
-87.64253,41.88676,300
-87.66713,41.90531,89
-87.73945,41.93433,29
-87.6771,41.91011,89
-87.62105,41.89169,285
-87.69361,41.93583,87
-87.66232,41.99783,75
-87.7302,41.9444,60
-87.62082,41.83618,86
-87.62969,41.87352,200
-87.68242,41.94614,299
-87.65502,41.93924,170
-87.68291,41.94851,59
-87.68006,41.9573,475
-87.69048,41.92416,119
-87.74891,41.9595,66
-87.66375,41.90156,79
-87.63327,41.90361,40
-87.6562,41.89671,76
-87.70801,41.93147,150
-87.68115,41.94078,299
-87.73587,41.92272,100
-87.61632,41.88626,171
-87.66184,41.99484,90
-87.71933,41.93711,105
-87.71685,41.94208,51
-87.65343,41.94334,90
-87.66483,41.89364,399
-87.7087,41.91058,58
-87.6923,41.91165,255
-87.7005,41.91637,129
-87.79461,41.9431,125
-87.68419,41.92409,60
-87.70387,41.96318,299
-87.66115,41.97186,59
-87.63422,41.88806,164
-87.63133,41.90974,80
-87.69439,41.96945,79
-87.54165,41.65156,99
-87.68428,41.94782,78
-87.69673,41.8984,85
-87.62999,41.87207,133
-87.70485,41.95133,82
-87.66999,41.89259,80
-87.64795,41.86159,150
-87.72881,41.95576,69
-87.65513,41.89681,280
-87.65136,41.94571,200
-87.68544,42.00663,82
-87.59589,41.80852,165
-87.67627,41.84968,39
-87.71096,41.93521,115
-87.61732,41.88745,300
-87.6324,41.8503,190
-87.67056,41.90064,65
-87.63895,41.91268,239
-87.68121,41.94342,199
-87.63864,41.91285,199
-87.63864,41.91285,259
-87.68115,41.94078,309
-87.67265,41.90223,175
-87.55166,41.7397,155
-87.65416,41.91882,117
-87.59742,41.77699,55
-87.70828,41.93129,180
-87.68436,41.97005,300
-87.70236,41.93013,85
-87.64446,41.91601,150
-87.66205,41.87279,155
-87.69631,41.97254,70
-87.64853,41.94197,399
-87.6782,41.91276,300
-87.63303,41.90274,79
-87.66686,42.00232,395
-87.66129,41.96875,199
-87.66318,41.92909,699
-87.70258,41.92455,100
-87.64185,41.93914,199
-87.66022,41.96941,99
-87.79586,41.94108,90
-87.67394,41.91225,95
-87.61565,41.88662,344
-87.6692,41.98557,150
-87.68047,41.94099,275
-87.68115,41.94072,199
-87.68115,41.94072,249
-87.71247,41.97581,75
-87.61363,41.78355,57
-87.65677,41.97002,99
-87.64582,41.85568,180
-87.61465,41.81974,115
-87.65404,41.9387,139
-87.68647,41.94097,425
-87.6677,41.91345,119
-87.67486,41.89351,99
-87.71702,41.9219,49
-87.62237,41.78632,50
-87.7099,41.91916,75
-87.62109,41.7857,65
-87.61304,41.81833,88
-87.62992,41.76754,99
-87.67332,41.94156,99
-87.67674,41.9435,275
-87.66153,41.97805,80
-87.62584,41.89143,229
-87.72047,41.92897,46
-87.67674,41.9435,339
-87.75274,41.97025,85
-87.67643,41.90963,200
-87.76679,41.96839,60
-87.65231,41.95226,150
-87.71012,41.9219,200
-87.66397,41.89747,200
-87.71429,41.90667,55
-87.6828,41.93723,250
-87.6828,41.93723,405
-87.65011,41.92751,199
-87.75563,41.9399,45
-87.65011,41.92751,225
-87.65011,41.92751,379
-87.6713,41.96251,100
-87.65083,41.97134,50
-87.62922,41.90592,76
-87.67216,41.90281,139
-87.72845,41.93313,35
-87.67556,41.90603,110
-87.7096,41.88302,22
-87.72851,41.93306,38
-87.61498,41.81922,500
-87.73456,41.9641,125
-87.73494,41.96382,59
-87.66536,41.90214,85
-87.70736,41.90872,47
-87.63313,41.90325,124
-87.69539,41.91762,90
-87.67658,41.89165,350
-87.72972,41.93481,33
-87.64978,41.8565,80
-87.69006,41.89859,52
-87.66811,41.89491,110
-87.6472,41.87709,99
-87.6771,41.94869,98
-87.68407,41.89039,210
-87.71659,41.93985,85
-87.71007,41.96024,75
-87.788,41.93846,74
-87.64955,41.93514,60
-87.65681,41.99635,37
-87.65865,41.89294,215
-87.68951,41.89933,65
-87.71776,41.78962,75
-87.79546,41.94319,65
-87.66026,41.873779999999996,100
-87.75601,41.9402,50
-87.69733,41.92377,93
-87.68769,41.95724,79
-87.651,41.93848,325
-87.67032,41.91081,129
-87.68863,41.90392,46
-87.70952,41.92116,75
-87.60762,41.83092,120
-87.68713,41.87293,99
-87.70449,42.01642,219
-87.70928,41.92461,90
-87.61656,41.88581,150
-87.63116,41.88696,299
-87.73283,41.79557,75
-87.66988,41.89302,90
-87.64173,41.84056,115
-87.71752,41.98526,39
-87.67305,42.0022,45
-87.6818,41.89968,89
-87.70783,41.94664,50
